region,population,area,pop_density,date,weekday,new_cases,retail+rec,grocery+pharm,parks,transit,workplaces,residential,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index
Durham,697355.0,2524.0,276.2896196513471,2020-02-15,Saturday,0.0,4.0,6.0,18.0,6.0,2.0,-1.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-16,Sunday,0.0,15.0,13.0,29.0,1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-17,Monday,0.0,-24.0,-42.0,52.0,-47.0,-75.0,17.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-18,Tuesday,0.0,0.0,12.0,-1.0,0.0,-2.0,1.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-19,Wednesday,0.0,2.0,6.0,-1.0,-4.0,3.0,0.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-20,Thursday,0.0,4.0,7.0,4.0,-1.0,2.0,-1.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-21,Friday,0.0,1.0,-3.0,-4.0,-2.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-22,Saturday,0.0,9.0,8.0,43.0,18.0,9.0,-2.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-23,Sunday,0.0,11.0,3.0,48.0,9.0,6.0,-2.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-24,Monday,1.0,3.0,2.0,19.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-25,Tuesday,0.0,2.0,7.0,4.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-26,Wednesday,1.0,-8.0,-4.0,-11.0,-8.0,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-27,Thursday,0.0,-13.0,-12.0,-19.0,-11.0,-10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-02-28,Friday,0.0,-11.0,-9.0,-16.0,-2.0,-3.0,3.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-02-29,Saturday,0.0,8.0,9.0,21.0,7.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-01,Sunday,0.0,12.0,7.0,23.0,1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-02,Monday,0.0,2.0,4.0,0.0,-4.0,3.0,0.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-03-03,Tuesday,0.0,1.0,0.0,-7.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-04,Wednesday,0.0,5.0,4.0,0.0,-3.0,5.0,-1.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-03-05,Thursday,0.0,5.0,6.0,19.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-06,Friday,2.0,-2.0,-3.0,-1.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-07,Saturday,2.0,10.0,8.0,45.0,7.0,9.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-08,Sunday,1.0,11.0,5.0,79.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-09,Monday,2.0,5.0,6.0,46.0,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.78
Durham,697355.0,2524.0,276.2896196513471,2020-03-10,Tuesday,7.0,1.0,3.0,-2.0,-6.0,2.0,1.0,,,,,,,,,,,,
Durham,697355.0,2524.0,276.2896196513471,2020-03-11,Wednesday,7.0,5.0,10.0,4.0,-5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,13.89
Durham,697355.0,2524.0,276.2896196513471,2020-03-12,Thursday,6.0,9.0,41.0,30.0,-9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,22.22
Durham,697355.0,2524.0,276.2896196513471,2020-03-13,Friday,1.0,-3.0,46.0,10.0,-25.0,-13.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,22.22
Durham,697355.0,2524.0,276.2896196513471,2020-03-14,Saturday,6.0,-10.0,27.0,38.0,-16.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,24.07
Durham,697355.0,2524.0,276.2896196513471,2020-03-15,Sunday,14.0,-10.0,11.0,65.0,-20.0,-6.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,24.07
Durham,697355.0,2524.0,276.2896196513471,2020-03-16,Monday,14.0,-9.0,30.0,32.0,-43.0,-31.0,11.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,43.52
Durham,697355.0,2524.0,276.2896196513471,2020-03-17,Tuesday,10.0,-27.0,14.0,16.0,-52.0,-39.0,14.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,43.52
Durham,697355.0,2524.0,276.2896196513471,2020-03-18,Wednesday,14.0,-32.0,2.0,19.0,-56.0,-43.0,17.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,61.11
Durham,697355.0,2524.0,276.2896196513471,2020-03-19,Thursday,11.0,-34.0,6.0,29.0,-57.0,-47.0,18.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,61.11
Durham,697355.0,2524.0,276.2896196513471,2020-03-20,Friday,16.0,-44.0,-5.0,0.0,-60.0,-49.0,21.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,71.3
Durham,697355.0,2524.0,276.2896196513471,2020-03-21,Saturday,13.0,-48.0,-9.0,54.0,-47.0,-32.0,12.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,71.3
Durham,697355.0,2524.0,276.2896196513471,2020-03-22,Sunday,22.0,-50.0,-24.0,28.0,-51.0,-36.0,11.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,71.3
Durham,697355.0,2524.0,276.2896196513471,2020-03-23,Monday,11.0,-46.0,-11.0,-32.0,-68.0,-55.0,22.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-24,Tuesday,16.0,-47.0,-11.0,3.0,-66.0,-57.0,22.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-25,Wednesday,13.0,-53.0,-24.0,9.0,-68.0,-60.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-26,Thursday,12.0,-54.0,-18.0,-2.0,-70.0,-61.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-27,Friday,17.0,-54.0,-20.0,23.0,-67.0,-60.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-28,Saturday,9.0,-60.0,-26.0,-8.0,-59.0,-44.0,16.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-29,Sunday,15.0,-59.0,-37.0,-2.0,-63.0,-44.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-30,Monday,13.0,-54.0,-29.0,-37.0,-74.0,-62.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-03-31,Tuesday,11.0,-49.0,-19.0,-20.0,-69.0,-63.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-01,Wednesday,28.0,-47.0,-21.0,3.0,-68.0,-62.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,74.54
Durham,697355.0,2524.0,276.2896196513471,2020-04-02,Thursday,13.0,-49.0,-19.0,10.0,-69.0,-62.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,74.54
Durham,697355.0,2524.0,276.2896196513471,2020-04-03,Friday,18.0,-53.0,-24.0,-28.0,-71.0,-62.0,27.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,74.54
Durham,697355.0,2524.0,276.2896196513471,2020-04-04,Saturday,11.0,-55.0,-25.0,-4.0,-57.0,-44.0,15.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-05,Sunday,21.0,-58.0,-35.0,3.0,-61.0,-44.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-06,Monday,13.0,-52.0,-24.0,-1.0,-70.0,-63.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-07,Tuesday,22.0,-50.0,-18.0,-13.0,-69.0,-63.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-08,Wednesday,24.0,-47.0,-10.0,-5.0,-68.0,-63.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
Durham,697355.0,2524.0,276.2896196513471,2020-04-09,Thursday,29.0,-38.0,13.0,-13.0,-68.0,-64.0,24.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,72.69
